epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6901,1.55864,3.10496,2.57901,1.38573,0.75699,0.05112,0.13074,0.07597,0.7418,0.05009,0.12692,0.06632,1.1799,2.15865,23.0806,1.13084,0.000653595,0.000653595,0.000653595
2,19.6022,1.3461,2.28762,1.63944,1.19956,0.53509,0.49225,0.43958,0.23923,0.53397,0.49122,0.42793,0.22114,1.35532,2.31206,32.4054,1.58466,0.00125491,0.00125491,0.00125491
3,26.9303,1.31785,2.20402,1.45913,1.20073,0.77195,0.55795,0.63105,0.3665,0.78193,0.56923,0.63741,0.33433,1.106,1.81457,32.6758,1.20871,0.00179022,0.00179022,0.00179022
4,34.0835,1.30557,2.09588,1.38086,1.2052,0.73005,0.60205,0.65792,0.40142,0.73739,0.59897,0.64994,0.32426,1.37595,2.61771,41.9202,1.3872,0.001703,0.001703,0.001703
5,41.5205,1.24174,2.03507,1.23708,1.17292,0.83901,0.68923,0.76199,0.51191,0.83901,0.68923,0.75227,0.46038,0.94314,1.53966,9.14634,0.9989,0.001604,0.001604,0.001604
6,48.4988,1.25769,2.01648,1.24134,1.16627,0.80864,0.65443,0.72888,0.48311,0.80864,0.65443,0.72603,0.42133,1.0473,1.32022,12.5428,1.12675,0.001505,0.001505,0.001505
7,55.5067,1.17963,1.95884,1.16388,1.14147,0.83434,0.72308,0.77879,0.50738,0.83129,0.72,0.76671,0.4348,0.95918,1.38037,12.3448,0.99808,0.001406,0.001406,0.001406
8,62.5604,1.16841,1.92268,1.10885,1.14781,0.85391,0.71179,0.76748,0.51809,0.84565,0.71282,0.7643,0.47597,0.80301,1.24811,13.6691,0.83626,0.001307,0.001307,0.001307
9,69.6314,1.10752,1.81463,1.01975,1.09499,0.87613,0.74564,0.81036,0.55937,0.88406,0.73128,0.80054,0.47943,0.81082,1.21155,3.90399,0.8946,0.001208,0.001208,0.001208
10,76.5303,1.09042,1.79697,1.00919,1.09569,0.84331,0.76728,0.81448,0.57284,0.8476,0.75487,0.79577,0.46605,0.80522,1.47767,3.87408,0.88947,0.001109,0.001109,0.001109
11,84.8694,1.08267,1.71094,2.00901,1.09688,0.85817,0.73128,0.79845,0.55364,0.8255,0.75207,0.78676,0.47558,0.8448,1.32473,8.28674,0.88117,0.00101,0.00101,0.00101
12,91.4244,1.12123,1.77829,1.10679,1.11832,0.79706,0.73128,0.78073,0.54857,0.79763,0.72821,0.77422,0.4667,1.10583,1.17366,3.0757,1.16827,0.000911,0.000911,0.000911
13,98.0276,1.04761,1.71517,1.09411,1.09313,0.85023,0.76103,0.81536,0.58152,0.85308,0.76,0.80998,0.51188,0.78894,1.1073,1.32642,0.8385,0.000812,0.000812,0.000812
14,104.766,1.04921,1.624,0.95987,1.09201,0.86087,0.74564,0.81588,0.582,0.85544,0.74047,0.80337,0.49909,0.80257,1.0871,5.2566,0.87703,0.000713,0.000713,0.000713
15,111.527,1.05307,1.6581,2.08944,1.06179,0.88432,0.75271,0.83072,0.60083,0.8782,0.74688,0.81837,0.5002,0.70177,1.02877,1.10433,0.75311,0.000614,0.000614,0.000614
16,118.852,0.99962,1.58307,0.97993,1.0743,0.88057,0.78154,0.83812,0.61693,0.87765,0.77538,0.82219,0.52028,0.68488,0.9992,0.94862,0.75982,0.000515,0.000515,0.000515
17,125.804,0.97013,1.57962,0.85018,1.05267,0.88172,0.80278,0.85398,0.63877,0.90781,0.7777,0.84254,0.54943,0.69689,1.02992,0.82297,0.75671,0.000416,0.000416,0.000416
18,132.595,0.96502,1.53598,0.8409,1.03724,0.90041,0.79385,0.85727,0.63254,0.89738,0.79385,0.85003,0.5413,0.71143,0.98492,0.69359,0.78809,0.000317,0.000317,0.000317
19,139.334,0.8877,1.38432,0.76921,1.0099,0.88432,0.8233,0.86441,0.65173,0.90286,0.80923,0.85631,0.55954,0.66869,0.92294,0.68447,0.77689,0.000218,0.000218,0.000218
20,146.153,0.88663,1.41069,0.75297,1.01502,0.89432,0.83077,0.87131,0.66072,0.89076,0.82795,0.86434,0.55658,0.59116,0.8731,0.57721,0.69661,0.000119,0.000119,0.000119
